input_c,input_mu,output_opinion_t0,output_opinion_t1,output_opinion_t2,output_opinion_t3,output_opinion_t4,output_opinion_t5,output_opinion_t6,output_opinion_t7,output_opinion_t8,output_opinion_t9,output_opinion_t10,output_opinion_t11,output_opinion_t12,output_opinion_t13,output_opinion_t14,output_opinion_t15,output_opinion_t16,output_opinion_t17,output_opinion_t18,output_opinion_t19,output_opinion_t20,output_opinion_t21,output_opinion_t22,output_opinion_t23,output_opinion_t24,output_opinion_t25,output_opinion_t26,output_opinion_t27,output_opinion_t28,output_opinion_t29,output_opinion_t30,output_opinion_t31,output_opinion_t32,output_opinion_t33,output_opinion_t34,output_opinion_t35,output_opinion_t36,output_opinion_t37,output_opinion_t38,output_opinion_t39,output_opinion_t40,output_opinion_t41,output_opinion_t42,output_opinion_t43,output_opinion_t44,output_opinion_t45,output_opinion_t46,output_opinion_t47,output_opinion_t48,output_opinion_t49,output_opinion_t50,output_opinion_t51,output_opinion_t52,output_opinion_t53,output_opinion_t54,output_opinion_t55,output_opinion_t56,output_opinion_t57,output_opinion_t58,output_opinion_t59,output_opinion_t60,output_opinion_t61,output_opinion_t62,output_opinion_t63,output_opinion_t64,output_opinion_t65,output_opinion_t66,output_opinion_t67,output_opinion_t68,output_opinion_t69,output_opinion_t70,output_opinion_t71,output_opinion_t72,output_opinion_t73,output_opinion_t74,output_opinion_t75,output_opinion_t76,output_opinion_t77,output_opinion_t78,output_opinion_t79,output_opinion_t80,output_opinion_t81,output_opinion_t82,output_opinion_t83,output_opinion_t84,output_opinion_t85,output_opinion_t86,output_opinion_t87,output_opinion_t88,output_opinion_t89,output_opinion_t90,output_opinion_t91,output_opinion_t92,output_opinion_t93,output_opinion_t94,output_opinion_t95,output_opinion_t96,output_opinion_t97,output_opinion_t98,output_opinion_t99,output_opinion_t100
0.861480003309799,0.4859774866082074,0.5004153232686028,0.5004153232686028,0.5004153232686028,0.5004153232686028,0.5004153232686028,0.5004153232686028,0.5004153232686028,0.5004153232686028,0.5004153232686028,0.5004153232686028,0.5004153232686028,0.5004153232686028,0.5004153232686028,0.5004153232686028,0.5004153232686028,0.5004153232686028,0.5004153232686028,0.5004153232686028,0.5004153232686028,0.5004153232686028,0.5004153232686028,0.5004153232686028,0.5004153232686027,0.5004153232686028,0.5004153232686028,0.5004153232686028,0.5004153232686028,0.5004153232686028,0.5004153232686028,0.5004153232686027,0.5004153232686027,0.5004153232686027,0.5004153232686028,0.5004153232686028,0.5004153232686028,0.5004153232686028,0.5004153232686027,0.5004153232686028,0.5004153232686028,0.5004153232686028,0.5004153232686028,0.5004153232686028,0.5004153232686028,0.5004153232686028,0.5004153232686028,0.5004153232686028,0.5004153232686028,0.5004153232686028,0.5004153232686028,0.5004153232686028,0.5004153232686028,0.5004153232686028,0.5004153232686028,0.5004153232686028,0.5004153232686028,0.5004153232686028,0.5004153232686027,0.5004153232686028,0.5004153232686028,0.5004153232686028,0.5004153232686028,0.5004153232686028,0.5004153232686028,0.5004153232686028,0.5004153232686028,0.5004153232686028,0.5004153232686028,0.5004153232686028,0.5004153232686028,0.5004153232686028,0.5004153232686028,0.5004153232686028,0.5004153232686028,0.5004153232686028,0.5004153232686028,0.5004153232686028,0.5004153232686028,0.5004153232686028,0.5004153232686028,0.5004153232686028,0.5004153232686028,0.5004153232686028,0.5004153232686028,0.5004153232686028,0.5004153232686028,0.5004153232686028,0.5004153232686028,0.5004153232686028,0.5004153232686028,0.5004153232686028,0.5004153232686028,0.5004153232686028,0.5004153232686028,0.5004153232686028,0.5004153232686028,0.5004153232686028,0.5004153232686028,0.5004153232686028,0.5004153232686028,0.5004153232686028,0.5004153232686028
0.0670662336981567,0.23778216238443625,0.5068588210608732,0.5068588210608732,0.5068588210608732,0.5068588210608732,0.5068588210608732,0.5068588210608732,0.5068588210608732,0.5068588210608732,0.5068588210608732,0.5068588210608732,0.5068588210608732,0.5068588210608732,0.5068588210608732,0.5068588210608732,0.5068588210608732,0.5068588210608732,0.5068588210608732,0.5068588210608732,0.5068588210608732,0.5068588210608732,0.5068588210608732,0.5068588210608732,0.5068588210608732,0.5068588210608732,0.5068588210608732,0.5068588210608732,0.5068588210608732,0.5068588210608732,0.5068588210608732,0.5068588210608732,0.5068588210608732,0.5068588210608732,0.5068588210608732,0.5068588210608732,0.5068588210608732,0.5068588210608732,0.5068588210608732,0.5068588210608732,0.5068588210608732,0.5068588210608732,0.5068588210608732,0.5068588210608732,0.5068588210608732,0.5068588210608732,0.5068588210608732,0.5068588210608732,0.5068588210608732,0.5068588210608732,0.5068588210608732,0.5068588210608732,0.5068588210608732,0.5068588210608732,0.5068588210608732,0.5068588210608732,0.5068588210608732,0.5068588210608732,0.5068588210608732,0.5068588210608732,0.5068588210608732,0.5068588210608732,0.5068588210608732,0.5068588210608732,0.5068588210608732,0.5068588210608732,0.5068588210608732,0.5068588210608732,0.5068588210608732,0.5068588210608732,0.5068588210608732,0.5068588210608732,0.5068588210608732,0.5068588210608732,0.5068588210608732,0.5068588210608732,0.5068588210608732,0.5068588210608732,0.5068588210608732,0.5068588210608732,0.5068588210608732,0.5068588210608732,0.5068588210608732,0.5068588210608732,0.5068588210608732,0.5068588210608732,0.5068588210608732,0.5068588210608732,0.5068588210608732,0.5068588210608732,0.5068588210608732,0.5068588210608732,0.5068588210608732,0.5068588210608732,0.5068588210608732,0.5068588210608732,0.5068588210608732,0.5068588210608732,0.5068588210608732,0.5068588210608732,0.5068588210608732,0.5068588210608732,0.5068588210608732
0.13538778250027178,0.023865836409488177,0.5061061471306573,0.5061061471306573,0.5061061471306573,0.5061061471306573,0.5061061471306573,0.5061061471306573,0.5061061471306573,0.5061061471306573,0.5061061471306573,0.5061061471306573,0.5061061471306573,0.5061061471306573,0.5061061471306573,0.5061061471306573,0.5061061471306573,0.5061061471306573,0.5061061471306573,0.5061061471306572,0.5061061471306572,0.5061061471306572,0.5061061471306572,0.5061061471306572,0.5061061471306573,0.5061061471306573,0.5061061471306573,0.5061061471306573,0.5061061471306572,0.5061061471306572,0.5061061471306573,0.5061061471306573,0.5061061471306573,0.5061061471306573,0.5061061471306573,0.5061061471306573,0.5061061471306573,0.5061061471306572,0.5061061471306572,0.5061061471306572,0.5061061471306572,0.5061061471306572,0.5061061471306572,0.5061061471306572,0.5061061471306572,0.5061061471306572,0.5061061471306572,0.5061061471306572,0.5061061471306572,0.5061061471306572,0.5061061471306572,0.5061061471306572,0.5061061471306572,0.5061061471306572,0.5061061471306572,0.5061061471306572,0.5061061471306572,0.5061061471306573,0.5061061471306573,0.5061061471306573,0.5061061471306573,0.5061061471306573,0.5061061471306573,0.5061061471306573,0.5061061471306573,0.5061061471306573,0.5061061471306573,0.5061061471306573,0.5061061471306573,0.5061061471306573,0.5061061471306573,0.5061061471306572,0.5061061471306573,0.5061061471306573,0.5061061471306573,0.5061061471306573,0.5061061471306573,0.5061061471306573,0.5061061471306573,0.5061061471306573,0.5061061471306573,0.5061061471306573,0.5061061471306573,0.5061061471306573,0.5061061471306573,0.5061061471306573,0.5061061471306573,0.5061061471306573,0.5061061471306572,0.5061061471306572,0.5061061471306572,0.5061061471306572,0.5061061471306572,0.5061061471306572,0.5061061471306572,0.5061061471306572,0.5061061471306572,0.5061061471306572,0.5061061471306572,0.5061061471306572,0.5061061471306573,0.5061061471306573,0.5061061471306573
0.5076402042226731,0.2869229763717434,0.4986750674110767,0.4986750674110767,0.4986750674110767,0.4986750674110767,0.4986750674110767,0.4986750674110767,0.4986750674110767,0.4986750674110767,0.4986750674110767,0.4986750674110767,0.4986750674110767,0.4986750674110767,0.4986750674110767,0.4986750674110767,0.4986750674110767,0.4986750674110766,0.4986750674110766,0.4986750674110767,0.4986750674110767,0.4986750674110767,0.4986750674110767,0.4986750674110767,0.4986750674110767,0.4986750674110767,0.4986750674110767,0.4986750674110767,0.49867506741107676,0.49867506741107676,0.49867506741107676,0.49867506741107676,0.49867506741107676,0.4986750674110767,0.4986750674110767,0.4986750674110767,0.4986750674110767,0.4986750674110767,0.4986750674110766,0.4986750674110766,0.4986750674110767,0.4986750674110767,0.4986750674110767,0.4986750674110767,0.4986750674110767,0.4986750674110767,0.4986750674110767,0.4986750674110767,0.4986750674110767,0.4986750674110767,0.4986750674110767,0.49867506741107676,0.49867506741107676,0.49867506741107676,0.4986750674110767,0.4986750674110767,0.4986750674110767,0.4986750674110767,0.4986750674110767,0.4986750674110767,0.4986750674110767,0.49867506741107676,0.49867506741107676,0.49867506741107676,0.49867506741107676,0.49867506741107676,0.4986750674110767,0.4986750674110767,0.4986750674110767,0.4986750674110766,0.4986750674110766,0.4986750674110767,0.4986750674110767,0.4986750674110767,0.4986750674110767,0.4986750674110767,0.4986750674110767,0.4986750674110767,0.4986750674110767,0.4986750674110767,0.4986750674110767,0.4986750674110767,0.4986750674110767,0.4986750674110767,0.4986750674110767,0.4986750674110767,0.4986750674110767,0.4986750674110767,0.4986750674110767,0.4986750674110767,0.4986750674110767,0.4986750674110767,0.4986750674110767,0.4986750674110767,0.4986750674110767,0.4986750674110767,0.4986750674110767,0.4986750674110767,0.4986750674110767,0.4986750674110767,0.4986750674110767,0.4986750674110767,0.4986750674110766
0.7916456830209485,0.32386646330208757,0.4881385875290009,0.4881385875290009,0.4881385875290009,0.4881385875290009,0.4881385875290009,0.4881385875290009,0.48813858752900097,0.48813858752900097,0.48813858752900097,0.48813858752900097,0.48813858752900097,0.48813858752900097,0.48813858752900097,0.4881385875290009,0.4881385875290009,0.4881385875290009,0.4881385875290009,0.4881385875290009,0.4881385875290009,0.4881385875290009,0.4881385875290009,0.4881385875290009,0.4881385875290009,0.4881385875290009,0.4881385875290009,0.4881385875290009,0.4881385875290009,0.4881385875290009,0.4881385875290009,0.4881385875290009,0.4881385875290009,0.4881385875290009,0.4881385875290009,0.4881385875290009,0.4881385875290009,0.4881385875290009,0.48813858752900097,0.4881385875290009,0.4881385875290009,0.4881385875290009,0.48813858752900097,0.4881385875290009,0.4881385875290009,0.48813858752900097,0.48813858752900097,0.48813858752900097,0.48813858752900097,0.4881385875290009,0.4881385875290009,0.48813858752900097,0.48813858752900097,0.48813858752900097,0.48813858752900097,0.48813858752900097,0.48813858752900097,0.488138587529001,0.488138587529001,0.48813858752900097,0.48813858752900097,0.48813858752900097,0.4881385875290009,0.48813858752900097,0.48813858752900097,0.48813858752900097,0.488138587529001,0.488138587529001,0.48813858752900097,0.48813858752900097,0.4881385875290009,0.4881385875290009,0.4881385875290009,0.48813858752900097,0.48813858752900097,0.48813858752900097,0.48813858752900097,0.48813858752900097,0.4881385875290009,0.48813858752900097,0.48813858752900097,0.48813858752900097,0.48813858752900097,0.48813858752900097,0.4881385875290009,0.48813858752900097,0.48813858752900097,0.48813858752900097,0.48813858752900097,0.4881385875290009,0.4881385875290009,0.4881385875290009,0.4881385875290009,0.4881385875290009,0.4881385875290009,0.4881385875290009,0.4881385875290009,0.4881385875290009,0.4881385875290009,0.4881385875290009,0.4881385875290009,0.4881385875290009,0.4881385875290009
0.2770254005915371,0.10287475141615528,0.49542030714905805,0.49542030714905805,0.49542030714905805,0.49542030714905805,0.49542030714905805,0.49542030714905805,0.49542030714905805,0.49542030714905805,0.49542030714905805,0.49542030714905805,0.49542030714905805,0.49542030714905805,0.49542030714905805,0.49542030714905805,0.49542030714905805,0.49542030714905805,0.49542030714905805,0.49542030714905805,0.49542030714905805,0.49542030714905805,0.49542030714905805,0.49542030714905805,0.49542030714905805,0.49542030714905805,0.49542030714905805,0.49542030714905805,0.49542030714905805,0.49542030714905805,0.49542030714905805,0.49542030714905805,0.495420307149058,0.495420307149058,0.495420307149058,0.495420307149058,0.495420307149058,0.495420307149058,0.495420307149058,0.495420307149058,0.495420307149058,0.495420307149058,0.495420307149058,0.495420307149058,0.495420307149058,0.495420307149058,0.495420307149058,0.495420307149058,0.495420307149058,0.495420307149058,0.495420307149058,0.495420307149058,0.495420307149058,0.495420307149058,0.495420307149058,0.495420307149058,0.49542030714905794,0.49542030714905794,0.49542030714905794,0.49542030714905794,0.49542030714905794,0.49542030714905794,0.49542030714905794,0.49542030714905794,0.49542030714905794,0.49542030714905794,0.49542030714905794,0.49542030714905794,0.49542030714905794,0.49542030714905794,0.49542030714905794,0.49542030714905794,0.49542030714905794,0.49542030714905794,0.49542030714905794,0.49542030714905794,0.49542030714905794,0.49542030714905794,0.49542030714905794,0.49542030714905794,0.49542030714905794,0.49542030714905794,0.49542030714905794,0.49542030714905794,0.49542030714905794,0.49542030714905794,0.49542030714905794,0.49542030714905794,0.49542030714905794,0.49542030714905794,0.49542030714905794,0.49542030714905794,0.49542030714905794,0.49542030714905794,0.49542030714905794,0.495420307149058,0.495420307149058,0.495420307149058,0.495420307149058,0.495420307149058,0.49542030714905794,0.49542030714905794,0.49542030714905794
0.19707825255203942,0.3294013978043993,0.544401002841684,0.544401002841684,0.544401002841684,0.544401002841684,0.544401002841684,0.544401002841684,0.544401002841684,0.544401002841684,0.544401002841684,0.544401002841684,0.544401002841684,0.5444010028416841,0.5444010028416841,0.544401002841684,0.544401002841684,0.544401002841684,0.544401002841684,0.544401002841684,0.544401002841684,0.544401002841684,0.544401002841684,0.544401002841684,0.544401002841684,0.544401002841684,0.544401002841684,0.544401002841684,0.544401002841684,0.544401002841684,0.544401002841684,0.544401002841684,0.544401002841684,0.544401002841684,0.544401002841684,0.544401002841684,0.544401002841684,0.544401002841684,0.544401002841684,0.544401002841684,0.544401002841684,0.544401002841684,0.544401002841684,0.544401002841684,0.544401002841684,0.544401002841684,0.544401002841684,0.544401002841684,0.544401002841684,0.544401002841684,0.544401002841684,0.544401002841684,0.544401002841684,0.544401002841684,0.544401002841684,0.544401002841684,0.544401002841684,0.544401002841684,0.544401002841684,0.544401002841684,0.544401002841684,0.544401002841684,0.544401002841684,0.544401002841684,0.544401002841684,0.544401002841684,0.544401002841684,0.544401002841684,0.544401002841684,0.544401002841684,0.544401002841684,0.544401002841684,0.544401002841684,0.544401002841684,0.544401002841684,0.544401002841684,0.544401002841684,0.544401002841684,0.544401002841684,0.544401002841684,0.544401002841684,0.544401002841684,0.544401002841684,0.544401002841684,0.544401002841684,0.5444010028416839,0.5444010028416839,0.5444010028416839,0.5444010028416839,0.5444010028416839,0.5444010028416839,0.544401002841684,0.544401002841684,0.544401002841684,0.544401002841684,0.544401002841684,0.544401002841684,0.544401002841684,0.544401002841684,0.544401002841684,0.544401002841684,0.544401002841684,0.544401002841684
0.6603619930633088,0.059212794146368236,0.4922195076274306,0.4922195076274306,0.4922195076274306,0.4922195076274306,0.4922195076274306,0.4922195076274306,0.4922195076274306,0.4922195076274306,0.4922195076274306,0.4922195076274307,0.4922195076274307,0.4922195076274307,0.4922195076274306,0.4922195076274306,0.4922195076274306,0.4922195076274306,0.4922195076274306,0.4922195076274306,0.4922195076274306,0.4922195076274306,0.4922195076274307,0.4922195076274307,0.4922195076274307,0.4922195076274307,0.4922195076274307,0.4922195076274308,0.4922195076274307,0.4922195076274307,0.4922195076274307,0.4922195076274307,0.4922195076274307,0.4922195076274307,0.4922195076274307,0.4922195076274307,0.4922195076274307,0.4922195076274307,0.4922195076274307,0.4922195076274307,0.4922195076274307,0.4922195076274307,0.4922195076274307,0.4922195076274307,0.4922195076274307,0.4922195076274307,0.4922195076274307,0.4922195076274307,0.4922195076274307,0.4922195076274307,0.4922195076274307,0.4922195076274307,0.4922195076274307,0.4922195076274307,0.4922195076274307,0.4922195076274307,0.4922195076274307,0.4922195076274307,0.4922195076274307,0.4922195076274307,0.4922195076274307,0.4922195076274307,0.4922195076274306,0.4922195076274307,0.4922195076274307,0.4922195076274307,0.4922195076274307,0.4922195076274307,0.4922195076274307,0.4922195076274307,0.4922195076274307,0.4922195076274307,0.4922195076274307,0.4922195076274307,0.4922195076274307,0.4922195076274307,0.4922195076274307,0.4922195076274307,0.4922195076274307,0.4922195076274307,0.4922195076274307,0.4922195076274307,0.4922195076274307,0.4922195076274307,0.4922195076274307,0.4922195076274307,0.4922195076274307,0.4922195076274307,0.4922195076274307,0.4922195076274307,0.4922195076274307,0.4922195076274307,0.4922195076274307,0.4922195076274307,0.4922195076274307,0.4922195076274307,0.4922195076274307,0.4922195076274307,0.4922195076274307,0.4922195076274307,0.4922195076274307,0.4922195076274306,0.4922195076274307
0.5686506458802874,0.229066824311005,0.5030726385206006,0.5030726385206006,0.5030726385206006,0.5030726385206005,0.5030726385206005,0.5030726385206005,0.5030726385206005,0.5030726385206005,0.5030726385206005,0.5030726385206005,0.5030726385206005,0.5030726385206005,0.5030726385206004,0.5030726385206004,0.5030726385206004,0.5030726385206005,0.5030726385206006,0.5030726385206006,0.5030726385206006,0.5030726385206006,0.5030726385206006,0.5030726385206006,0.5030726385206006,0.5030726385206006,0.5030726385206006,0.5030726385206006,0.5030726385206006,0.5030726385206006,0.5030726385206006,0.5030726385206006,0.5030726385206006,0.5030726385206006,0.5030726385206006,0.5030726385206006,0.5030726385206006,0.5030726385206006,0.5030726385206006,0.5030726385206006,0.5030726385206006,0.5030726385206006,0.5030726385206006,0.5030726385206006,0.5030726385206006,0.5030726385206006,0.5030726385206006,0.5030726385206006,0.5030726385206006,0.5030726385206006,0.5030726385206006,0.5030726385206006,0.5030726385206006,0.5030726385206005,0.5030726385206005,0.5030726385206005,0.5030726385206005,0.5030726385206004,0.5030726385206004,0.5030726385206004,0.5030726385206004,0.5030726385206004,0.5030726385206005,0.5030726385206005,0.5030726385206006,0.5030726385206006,0.5030726385206006,0.5030726385206006,0.5030726385206006,0.5030726385206006,0.5030726385206006,0.5030726385206006,0.5030726385206006,0.5030726385206006,0.5030726385206006,0.5030726385206006,0.5030726385206006,0.5030726385206006,0.5030726385206006,0.5030726385206006,0.5030726385206006,0.5030726385206006,0.5030726385206005,0.5030726385206005,0.5030726385206006,0.5030726385206006,0.5030726385206006,0.5030726385206005,0.5030726385206005,0.5030726385206006,0.5030726385206006,0.5030726385206006,0.5030726385206006,0.5030726385206006,0.5030726385206006,0.5030726385206006,0.5030726385206006,0.5030726385206006,0.5030726385206006,0.5030726385206006,0.5030726385206006,0.5030726385206006,0.5030726385206006
0.7979417336666798,0.10176024529164748,0.5304365185109071,0.5304365185109071,0.5304365185109071,0.5304365185109071,0.530436518510907,0.530436518510907,0.530436518510907,0.530436518510907,0.530436518510907,0.530436518510907,0.530436518510907,0.530436518510907,0.530436518510907,0.530436518510907,0.530436518510907,0.530436518510907,0.530436518510907,0.530436518510907,0.5304365185109071,0.5304365185109071,0.530436518510907,0.530436518510907,0.5304365185109069,0.5304365185109069,0.5304365185109069,0.5304365185109069,0.5304365185109069,0.5304365185109069,0.5304365185109069,0.5304365185109069,0.5304365185109069,0.5304365185109069,0.5304365185109069,0.5304365185109069,0.5304365185109069,0.5304365185109069,0.5304365185109069,0.5304365185109069,0.5304365185109069,0.5304365185109069,0.5304365185109069,0.5304365185109069,0.5304365185109069,0.5304365185109069,0.5304365185109069,0.530436518510907,0.530436518510907,0.530436518510907,0.530436518510907,0.530436518510907,0.530436518510907,0.530436518510907,0.530436518510907,0.530436518510907,0.530436518510907,0.530436518510907,0.530436518510907,0.530436518510907,0.5304365185109069,0.5304365185109069,0.5304365185109069,0.5304365185109069,0.5304365185109069,0.5304365185109069,0.5304365185109069,0.5304365185109069,0.5304365185109069,0.5304365185109069,0.5304365185109069,0.5304365185109069,0.5304365185109069,0.5304365185109069,0.5304365185109069,0.5304365185109069,0.5304365185109069,0.5304365185109069,0.5304365185109069,0.5304365185109069,0.530436518510907,0.5304365185109069,0.5304365185109069,0.5304365185109069,0.530436518510907,0.5304365185109069,0.5304365185109069,0.5304365185109069,0.5304365185109069,0.5304365185109069,0.530436518510907,0.530436518510907,0.530436518510907,0.530436518510907,0.530436518510907,0.530436518510907,0.530436518510907,0.530436518510907,0.5304365185109069,0.5304365185109069,0.530436518510907,0.530436518510907,0.530436518510907
