c,mu,distance
0.4444593992612441,0.5621737432112947,0.003932404683678789
0.4819685727904385,0.4866238770305369,0.004494308663882526
0.47391733605527564,0.5960738514332505,0.004716574579209044
0.4219188266282723,0.629522045995964,0.005825139459327957
0.4266629359338272,0.2684442907938987,0.005865538438605018
0.45869674008094363,0.3063356729152267,0.006347638723691486
0.4644283229665387,0.45617865410933767,0.0064240365373808605
0.49863423525242256,0.5880007784556954,0.006425741326100853
0.44515336315232057,0.6026440604875468,0.006552111443741768
0.4852221608839312,0.29361740944543246,0.007119992032321841
0.4848045755953968,0.6370967702965228,0.0072770864053421196
0.470609712615324,0.4503100889870073,0.007526880079041853
0.3695739856438517,0.5286707555701878,0.007997221665355058
0.4499516585027864,0.8269785914843419,0.008398315948738183
0.44570588472532524,0.5640754980798871,0.008426990470470538
0.4376628247325465,0.4234470246013424,0.008646257015995924
0.4858742015162313,0.5181992310123488,0.008771539885624983
0.4056485592977449,0.5336669677313695,0.008899053263394541
0.40879550215187177,0.47470961031046877,0.008929806925430685
0.39179348663486957,0.7317542364520787,0.009181808414614506
0.48474280820702953,0.7134618229049123,0.009270165304448458
0.4918129794445908,0.2538689482335157,0.009392080107978729
0.44230908350258835,0.7495661647713102,0.00946025256234957
0.46836571044917463,0.24666653533728777,0.009572526910539262
0.45451784359500425,0.28396136593161836,0.009681238845185047
0.4554007628020047,0.6808719036317477,0.00991880796583837
0.47064655393202537,0.8468760437490962,0.009991605463102746
0.49985203301725445,0.6194663738236252,0.010003866292208233
0.46271371976903275,0.506288600050543,0.010061153778443185
0.42001484199917394,0.40800591727368407,0.010242147172429649
0.4727426056430003,0.5375138308622075,0.010289910077759198
0.4023294114645384,0.5068835813618547,0.010623018287787308
0.4065259503607572,0.4361252076545882,0.010679625419753598
0.41887049243405594,0.6461144441457011,0.01072696061961544
0.4882516760050569,0.28147214671836474,0.01085574570711652
0.47235880702694844,0.4367804850254202,0.010944010110250327
0.4190843020270243,0.8384566805077048,0.010947966904439981
0.4298541936613539,0.4396432019988512,0.011022547361740055
0.4956087139388283,0.34518830823143676,0.01132294860545971
0.4685762767737409,0.27067358628898913,0.01133127988157939
0.44919648510150023,0.65980439444578,0.011331651225888716
0.48040737799825195,0.4558904090203283,0.011522311777877645
0.45283052668144463,0.22419300507407425,0.01155590660042266
0.46613844966485063,0.8358918560278675,0.011681801386538166
0.4551567081929594,0.25468048049455805,0.011826195427926671
0.4704390753807214,0.2989013739339035,0.011857619112229543
0.4493358244754385,0.560602716916953,0.011982851538695612
0.4247809209280059,0.5633585910760986,0.012174496574040026
0.40810642812656384,0.7304864432184596,0.012186685754891237
0.4414628800971496,0.3969319862777565,0.012188561481043279
0.4074496905262115,0.5872706328962592,0.012288329417167284
0.48147700623406053,0.4827606312018613,0.012508900493880969
0.3833509497233778,0.5749434440867488,0.012509014899697893
0.4468727722538657,0.8376984178917724,0.012551534884940688
0.45277560331055056,0.497036214915901,0.012592555547201158
0.4735552988977171,0.8424524279077085,0.012648031277656121
0.4262579560099601,0.6965597601997492,0.01272729990727418
0.4766615646157769,0.6854883086245815,0.012780919001170135
0.44216773028232437,0.23200478190996776,0.012793196277558025
0.4990987712690198,0.24462779358835932,0.012816288444793548
0.4678662292963781,0.22854866539077534,0.012861191444289995
0.4948032266750907,0.5516000232889157,0.012867382485701594
0.45885583992561607,0.4225624094137118,0.012903156913573662
0.4922363038058324,0.6589116913814789,0.012965209682682272
0.49467713239900546,0.8307765504465777,0.012989428732545182
0.433948959489477,0.5119010252145374,0.013186410692118811
0.46537121884238364,0.4580744911574318,0.013276042491721853
0.46561368317109764,0.2218692142822173,0.013287628749593414
0.37099998054357597,0.4544077870005503,0.013292065451287966
0.42815300234146425,0.5206635137876404,0.01334050766182565
0.44610090051752493,0.29138574307700865,0.013350690598091974
0.4150031620420743,0.3701273024382139,0.013400060327233815
0.4486216714902034,0.5668785931940374,0.013419596920985166
0.44833277922469417,0.2619169400876411,0.013419779501233187
0.40709745814048914,0.643224317464757,0.013467658875612304
0.38617073504984023,0.46718710151982235,0.013480844505359768
0.4294150540297337,0.7174435146000879,0.013549029811835086
0.43894229803271745,0.6189035405256565,0.013567747290782311
0.46865413257437616,0.4411604823280092,0.013615287556395532
0.34126879065033855,0.6402184556740462,0.013790940151005971
0.4235403912856427,0.47134826665978913,0.013849713964722194
0.42454790953093713,0.40122688275857443,0.013986215102722384
0.48452655922497456,0.21295839041685652,0.014056362171055124
0.4540911308099631,0.36402894603460245,0.01408035976635873
0.4283827662771804,0.5416081846783535,0.014189447921574989
0.4631829191413743,0.40280149530478326,0.01423757314352595
0.48141276321958004,0.7651253688566694,0.014238808266612092
0.49959702140007445,0.6377170318980615,0.014343381289290063
0.49450365404737573,0.28690825591888414,0.01434997010935979
0.3634172031094064,0.5527858034705311,0.014591301805437034
0.3902884786029627,0.8189098883571736,0.014617866218268698
0.43373453797054295,0.790895576483785,0.014618814187523895
0.4787374928806607,0.37738387596029566,0.014661602589340857
0.43812111074907234,0.2917211209273994,0.014875430672907478
0.4908666573401542,0.6412763166874325,0.014905805435399365
0.45887713497106,0.7331049963134069,0.014998558448638307
0.4984429697710717,0.17442483572054462,0.015013919663416262
0.43380712624788864,0.18768674135076202,0.015018437925204344
0.4936273714617274,0.5598785927942002,0.015053358762145704
